Código,Nombre
00,Otro País
14,La Unión
13,Morazán
12,San Miguel
11,Usulután
10,San Vicente
09,Cabañas
08,La Paz
07,Cuscatlán
06,San Salvador
05,La Libertad
04,Chalatenango
03,Sonsonate
02,Santa Ana
01,Ahuachapán
